Syllable/Combination,汉字
lou1B|21,㐐㗦㚢𦛨𨥬𤩂𤏪𠫂鸕鸬魲鱸鲈顱颅馿駑驢驴驽髗髝鐒鑪铹醪鈩轑轤轳謱蟧蠦蘆臚舮舻艫芦罏耢耮胪簩籚纑窂笯盧矑砮磱瓐痨癆爐牢獶獹獿玈澇瀘炉㞪㟉㟹㢳㨓㪭㭔㿖㿵䃕䛝䜎䝁䡎䰕䲏僗劳労勞卢哰唠嘮嚧垆壚夒奴孥崂嶗帑庐廬憥憹捞撈攎曥朥枦栌櫨泸浶涝
lou2B|13,㐗㑎㔪㖈㛴𦚱𠐔鹵魯鮱鲁鏀鐪鑥铑镥銠轑蛯蓾虏虜脳腦艣艪荖老耂胬脑粩砮硓硵碯磠珯瑙狫獠滷潦澛瀂㢚㧯㯭㲶㳣㺁䇭䎛䕩䜀䜧䝤䲐䳓伮佬僚努匘卤咾垴堖塷姥嫐弩恅恼悩惱憹掳撸擄擼栳樐橑橹櫓氇氌
lou3B|22,𤫢𡀔鷺鹭𤅟鴼露鏴酪躼軂輅辂賂赂路蕗虂耢耮簬簵璐牢潞潦澇㯝䵏劳勞嫪怒憦橯涝
lou1A|55,黸噜嚕捞撈
lou2A|35,路蟧蘆芦盧爐潞炉佬劳勞卢
hou3A|33,㘪㚪鯌藃耗秏犒䐧䚽好
hou1B|21,𩖸𨮙𤐶𧐢𣻼豪蚝蠔號獆獋獔濠㠙㩝㬔䜂䝥䧫儫勂号呺嗥嘷噑嚎壕椃毜毫
hou2A|35,𣫮𡥘號㝀号好恏毫
hou3B|22,𣊊𦶡鰝顥颢鎬镐鄗薃號聕皜皞皡皥皓滈澔瀥灏灝㞻㬶䧚䪽䫧䯩䯫傐号哠悎昊昦晧暠暤暭曍浩淏
hou1A|55,髇髛蒿薅薧茠䒵䜰䯌嚆
ngou3B|22,㜜𨫼鏊遨謷謸澆㟼㠂㥿傲奡嫯慠敖浇
ngou3A|33,㜩隖隩鐭襖袄芺澳㠗㤇䐿䜒䴈噢圫坞塢墺奥奧岙嶴懊扷
ngou1B|21,𢳆𣊁鼇鰲鳌鷔驁骜隞鏊鏖遨謷螯蔜翱翶翺聱磝璈熬爊獒獓滶㾲䥝䦋䮯厫嗷嗸嶅廒摮敖
ngou1A|55,𨭤鏖㩠䥝擙
ngou2A|35,镺襖袄燠䯠䴈䴠奥奧媪媼
pou3A|33,㚴铺鋪舖舗甫堡
pou1B|21,𥮉酺軳袌袍菩葡蒱蒲苻莆脯䈬䈻䔕匍浦
pou2A|35,𦡮𣿀鐠铺镨谱諩譜袍舖脯甫溥烳圃圑埔普暜氆浦
pou1A|55,鯆陠铺鋪舖甫痡潽㯱㲏䫽䮒䲕
pou2B|13,袌抱泡
bou1A|55,㕊餔钸闁鈽逋誧裦褒襃蕔煲㷛䊇峬庯晡
bou3A|33,㘵餔㳍佈儤咘埔報布忁怖悑报柨
bou2A|35,㙅㙛𨰰𡝬𧅤𨩚𦹂𡤧𤣰𨰻𨰦𤦸鸨鳵鴇鵏駂靌賲补補褓葆藵簿緥珤㻄䀯䋠䎂䪔䳈䳰䴐保圃埗堡堢媬孬宝宲寚寳寶暴
bou3B|22,𣭚鞴部郶菢蔀虣荹簿篰瀑㫧㬥㬧㲒㻉㾟䑰䒀䝵䤖勽哺埗埠廍抱捕捗暴曓步歨歩
jet4B|2,馹驲鎰镒釰釼鈤軼轶迭逸賹衵肸肹溢㳑䒤䫻䭿佚佾劮呹囸失忔日昳泆
jet4Aa|5,辷一壱壹夁嬄弌
det4Aa|5,𠱂腯
det4B|2,鼵鶟鈯鍎蟘葖腯突犆㟮㷝㻠䃐凸吐堗宊怢揬
cet4Aa|5,㐂㓒㓼㔑腟漆㭍㯃㲺䜉七柒桼
cet4B|2,𨳍
zet4B|2,㑑㑵𡜍铚銍郅蛭蛰螏螲蟄蒺膣祑窒礩甴疾潌㜼䟈䱃侄厔妷姪嫉庢愱挃桎槉洷
zet4Aa|5,㗌㗧㘍㜱𨑨騭骘隲鑕锧貭質质秷礩瓆㩫䑇䜠䬹儨劕揤晊櫍
get4Aa|5,㓤鴶銡郅郆诘趌訖詰讫裓虼肐胳紇纥疙狤㰟䓀䞘䰴仡佶吃吉咭喫姞屹桔榾
get4B|2,㔕趌趷跀㡮䞘曱
get4Ab|3,圪
set4Aa|5,鯴鰘鲺飋蝨虱膝瑟璱濏㣰㻎㻭䣛厀失室榁
set4B|2,湜㺙实実寔實
met4B|2,𡛁𠖳鴓韈韤谧襪謐蜜蟔袜蔤藌芴粅物滵㫘㳴㴵㵥㸓䌏䍪䛑䤉䥼伆勿嘧宓宻密岉峚帓昒曶榓樒櫁沕淧
met4Aa|5,乜
net4B|2,訥讷肭吶呐
let4B|2,訥讷肭吶呐
let4Aa|5,甩
het4B|2,㔠麧黠齕龁鶷阂鎋閡轄辖趘覈覡觋葜薂舝翮籺紇縖纥瞎礉㮝䃒䃝䚫䡷䶤劾勓核椺楬槅檄
het4Aa|5,釳迄芞犵㣟䇄䎢䏌䒗䛥䬣乞吃喫忔恄欯
ket4Aa|5,咭咳欬
fet4B|2,㕹㘺𡌅鮄阀閥鉘藅茷罚罰罸笩筏瞂甶疺炥㪄䇅䞞䣹乏仏伐佛傠刜咈坲垡姂岪怫栰梻橃浌
fet4Aa|5,㗵𦡆𤤖黻𤦏𧩓魆鮄髴韍韨锪鍃袚艴芴芾茀绂绋翇紱紼綍祓窟笏笰矻砩狒烼㦌㧮㧾㩿㪂㫚㵠㺀㺻㾁䂗䓤䘠䝆䨚䩐䬍䭮䯇䴯乀佛冹刜匢匫唿囫堀寣崫巿帗弗彿忽惚拂搰昒曶柫欻歘氟淴
nget4B|2,㐳㐹㙞鼿齀阢迄訖讫耴矹矻疙㽾䑢䖌䢀䦍䪲仡兀卼圪屹屼忔扢扤杌汔
nget4Aa|5,扤
pet4Aa|5,𢳂鹎鴄鵯苉疋㺼䏘匹
wet4B|2,鷸鹘鹬鱊鴥鴧鴪鶐鶻驈霱遹蒁聿絗繘矞燏獝潏㧒㨡䁌䁫䮇扤抇搰核
