Syllable/Combination,汉字
kiun3|53,近
ngiun1A|44,忍允
ngiun1B|11,銀垠
ngiun2|31,刃仞軔
ngiun3|53,韌靱
ang1A|44,罌
bang1A|44,邦枋
pang1A|44,嗙
pang1B|11,龐彭膨棚澎
pang3|53,甏冇
mang1A|44,蟒猛
mang1B|11,盲氓吂
mang2|31,猛
fang3|53,䢍
vang1B|11,簧橫轟揈潢璜
vang3|53,橫
dang1A|44,瞪釘疔盯
dang2|31,頂訂
tang1A|44,聽廳町
tang1B|11,庭
lang1A|44,冷
lang1B|11,零鈴伶拎
lang3|53,另
zang1A|44,爭正
zang2|31,整
zang3|53,正
cang1B|11,澄橙程成
cang3|53,掌撐鄭
sang1A|44,生牲聲
sang1B|11,成城
sang2|31,省
sang3|53,覡
gang1A|44,更庚羹耕經賡
gang2|31,哽
gang3|53,徑
ngang3|53,硬
hang1A|44,夯坑
hang1B|11,行桁
yiang1A|44,縈
yiang1B|11,影贏營
yiang3|53,映
biang2|31,丙餅炳
biang3|53,柄摒
piang1B|11,平坪瓶
piang3|53,病
miang1A|44,瞑
miang1B|11,明名
miang3|53,命
tiang2|31,艇
liang1A|44,領
liang2|31,嶺
liang3|53,令靚
ziang1A|44,腈靚菁
ziang2|31,井
ciang1A|44,清青
ciang1B|11,晴
ciang2|31,請
ciang3|53,淨
siang1A|44,腥
siang2|31,醒
siang3|53,性姓
giang1A|44,荆驚輕麖
giang1B|11,擎
giang2|31,頸
giang3|53,鏡
kiang3|53,儉
ngiang1B|11,迎
hiang1B|11,邢
yiong1A|44,央秧殃養癢泱氧怏鞅
yiong1B|11,羊洋楊陽揚瘍佯煬
yiong3|53,壤攘嚷讓樣漾
biong1A|44,枋
biong3|53,放
piong1B|11,房
miong2|31,網
liong1A|44,兩
liong1B|11,良涼量糧梁粱輛
liong2|31,兩倆魎
liong3|53,量亮諒
ziong1A|44,將漿
ziong2|31,蔣獎槳
ziong3|53,將醬
ciong1A|44,槍
ciong2|31,搶
ciong3|53,像
siong1A|44,相箱廂湘襄鑲
siong1B|11,牆詳祥檣嬙
siong2|31,想象橡餉鮝
siong3|53,相匠
giong1A|44,疆僵薑礓繮姜羌
kiong1A|44,匡筐眶腔框
kiong1B|11,強繈
kiong2|31,強
ngiong1B|11,娘
ngiong3|53,釀
hiong1A|44,香鄉
hiong2|31,晌享響餉
hiong3|53,向
yiung1A|44,冗雍癰㙲臃
yiung1B|11,榮戎絨熊融茸容蓉鎔庸溶慵
yiung2|31,擁甬勇湧傭踴恿
yiung3|53,用傭
liung1B|11,龍
ziung1A|44,綜蹤縱
ziung2|31,縱聳
ciung1B|11,從松
siung1A|44,嵩從
siung3|53,誦頌訟
giung1A|44,弓躬宫恭供芎
giung2|31,拱
giung3|53,供
kiung1B|11,窮穹
kiung2|31,鞏恐
kiung3|53,共
ngiung1B|11,繷
ngiung3|53,用
hiung1A|44,兄胸凶兇洶匈
hiung1B|11,雄㞞
yip4A|1,邑浥
lip4B|5,立
sip4B|5,緝集輯習襲夕
gip4A|1,急給
kip4A|1,級泣吸汲
kip4B|5,及
ngip4B|5,入
hip4A|1,翕熻
ap4A|1,鴨押壓
fap4A|1,法琺砝
dap4A|1,答搭劄耷瘩
tap4A|1,搨榻塌溻㙮
tap4B|5,踏沓
nap4A|1,衲
nap4B|5,納呐
lap4A|1,垃
lap4B|5,臘蠟邋鑞
zap4A|1,摺褶札紮軋折砸
cap4A|1,插
cap4B|5,雜閘栅
sap4A|1,眨颯
sap4B|5,煠涉
gap4A|1,合鴿閘夾裌甲胛匣挾佮莢鉀狎䇲
