Syllable/Combination,汉字
biao3A|35,表錶婊
piao1A|53,飄漂瞟
piao3A|35,漂票
bbiao3B|13,瓢嫖鰾剽
miao1A|53,瞄
miao3B|13,苗描藐渺秒廟妙謬繆瞄眇
viao3B|13,覅
diao1A|53,刁貂雕凋
diao3A|35,鳥釣弔屌
tiao1A|53,挑眺祧佻
tiao3A|35,跳糶
ddiao3B|13,條調掉苕笤迢
liao1A|53,撩尥摷
liao3B|13,燎療聊遼撩寥了瞭料廖鐐僚潦繚獠蓼䩍
jiao1A|53,交郊膠焦蕉椒驕嬌澆繳糾礁蛟
jiao3A|35,教絞狡鉸攪校校較窖覺醮矯繳僥叫餃跤姣佼皎
qiao1A|53,敲鍬繰悄撬蹺橇
qiao3A|35,巧俏竅翹峭
jjiao3B|13,瞧喬僑橋蕎轎翹撟
njiao3A|35,鳥
njiao3B|13,鐃撓饒橈擾繞堯嬲蟯
xiao1A|53,消宵霄硝銷鞘枵囂蕭簫肖逍瀟嘯梟
xiao3A|35,酵淆孝小笑曉哮筱
xxiao3B|13,巢樵剿憔譙繅㩭
hhiao3B|13,咬校肴淆效搖謠窰姚舀耀鷂堯杳遙瑤爻徭曜
eu1A|53,區歐甌毆謳鷗傴
eu3A|35,嘔漚慪傴
peu3A|35,剖
meu3B|13,某畝牡茂貿謀矛眸牟侔
feu3A|35,否缶
veu3B|13,浮負阜蜉桴
deu1A|53,兜篼
deu3A|35,斗抖陡鬥蚪
teu1A|53,偷
teu3A|35,㪗透
ddeu3B|13,頭投豆逗讀痘骰竇
leu3B|13,樓摟耬簍漏陋揉婁髏蹂僂螻鏤瘺謱
zeu1A|53,晝鄒周舟州洲謅
zeu3A|35,走奏肘皺縐帚咒
ceu1A|53,抽
ceu3A|35,湊丑醜臭腠
seu1A|53,搜颼餿蒐收艘溲
seu3A|35,叟嗽瘦手首守獸狩擻
sseu3B|13,綢稠籌紂宙愁驟仇酬受壽授售柔揉疇躊蹂綬儔胄
geu1A|53,勾鉤溝佝篝
geu3A|35,狗苟彀够構購垢枸媾
keu1A|53,摳瞘
keu3A|35,口叩扣寇蔻釦
ggeu3B|13,藕偶耦跔䊵
heu1A|53,吼齁呴
heu3A|35,吼鱟
hheu3B|13,侯喉猴瘊後厚后候篌
yeu1A|53,憂優悠幽攸
yeu3A|35,幼
mieu3B|13,謬
dieu1A|53,丟
lieu1A|53,溜
lieu3B|13,流劉留榴硫琉柳餾綹瘤瀏
jieu1A|53,揫鳩鬮糾究赳啾
jieu3A|35,酒九久韭灸救玖疚廄㾭
qieu1A|53,揫秋鞦丘鰍蚯邱恘
jjieu3B|13,囚泅仇求球臼舅咎舊柩裘桕虬
njieu1A|53,扭妞
njieu3B|13,紐牛鈕
xieu1A|53,修羞休
xieu3A|35,秀繡宿銹朽嗅琇溴
xxieu3B|13,就袖酋遒鷲岫
hhieu3B|13,尤郵由油游猶有友酉莠誘又右祐柚鼬釉宥鈾魷囿蚰疣猷侑
ea1A|53,哀埃挨
ea3A|35,愛藹隘晏靄曖璦
bea1A|53,杯輩碑卑彼悲班斑頒扳般擘瘢裨螌
bea3A|35,貝背扮瓣板版阪狽鋇
pea1A|53,沛胚坯丕攀
pea3A|35,配盼襻鋬
bbea3B|13,培陪賠裴倍背佩焙被備疿瓣辦爿徘蓓掊
mea3A|35,美鎂
mea3B|13,邁謎梅枚媒煤每妹昧楣黴媚寐蠻慢漫玩頑晚萬蔓玫霾謾莓酶魅嵋袂
fea1A|53,翻番幡
fea3A|35,泛反販返㽹
vea3B|13,凡帆范範犯藩煩礬繁飯萬梵蕃樊
dea1A|53,獃堆耽擔丹單歹眈鄲殫簞
