Syllable/Combination,汉字
jiai1A|31,皆階稭街
jiai2|212,解
jiai3|44,介界芥疥屆戒械誡
qiai2|212,楷
xiai2|212,蟹
xiai3|44,懈
wai1A|31,歪
wai2|212,崴
wai3|44,外
zhuai1A|31,拽
chuai1A|31,揣
chuai1B|24,膗
shuai1A|31,衰摔
shuai2|212,甩
shuai3|44,帥率
guai1A|31,乖
guai2|212,怪拐
guai3|44,怪
kuai2|212,擓
kuai3|44,塊會快筷膾
huai1B|24,懷槐淮徊
huai3|44,壞
wei1A|31,萎威逶痿
wei1B|24,桅危為維惟唯微違圍薇韋帷猥圩幃濰韙
wei2|212,僞萎委尾偉緯煒諉
wei3|44,衛為餧位未味魏畏慰胃謂偎巍尉渭蔚
duei1A|31,堆
duei3|44,對碓隊兌
tuei1A|31,推
tuei1B|24,頹
tuei2|212,腿
tuei3|44,退蛻褪煺
luei1B|24,雷擂鐳
luei2|212,儡累壘餒磊蕾
luei3|44,內累類淚
zuei1B|24,賊
zuei2|212,嘴
zuei3|44,罪最醉
cuei1A|31,催崔炊摧
cuei1B|24,茄隨
cuei2|212,璀
cuei3|44,脆翠粹悴萃瘁淬
suei1A|31,雖尿荽
suei1B|24,隨髓隋
suei3|44,碎歲綏遂隧穗祟燧
zhuei1A|31,追錐
zhuei3|44,綴贅墜惴
chuei1A|31,吹垂槌錘棰陲捶
shuei1B|24,誰
shuei2|212,水
shuei3|44,稅睡
ruei2|212,蘂
ruei3|44,銳瑞
guei1A|31,圭閨規龜歸硅皈
guei2|212,詭軌癸鬼
guei3|44,劊檜鱖桂跪櫃貴瑰
kuei1A|31,盔虧巋
kuei1B|24,魁奎逵葵睽馗夔揆
kuei2|212,傀
kuei3|44,潰窺愧饋匱簣
huei1A|31,恢灰揮輝徽
huei1B|24,回茴蛔洄鮰
huei2|212,悔晦毀誨
huei3|44,會賄匯繪惠慧穢諱彙燴卉薈喙蕙
ao1A|31,凹
ao1B|24,熬遨嗷翱鏖敖鼇
ao2|212,襖
ao3|44,傲懊奧坳凹澳拗
